,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2826,sz.000519,中兵红箭,0.0695,1366095787.59,50.7463740592,-46.6776,96723699.79,385.49,276.3181,6.193509820936,1.13,-0.102971717847,20.6498746107,专用设备,2021-04-28
2827,sz.000510,新金路,0.1113,711358826.84,50.8238336228,15.3316,67808480.22,121.07,76.4101,1.856212225151,6.18,-0.027188854635,19.9913763778,化工行业,2021-04-28
2828,sz.000509,*ST华塑,0.0126,11149429.71,9.7353452997,-28.9185,13477934.61,291.12,-47.4513,0.149276908969,8.74,-0.034995864743,32.9392606216,医疗行业,2021-04-28
2829,sz.000507,珠海港,0.083,1164381377.65,96.6367440463,-3.4044,77109438.76,565.78,-30.221,5.667549689457,1.47,0.020014894754,19.0198115163,港口水运,2021-04-28
2830,sz.000505,京粮控股,0.05,2338783061.35,36.034197797,-23.6349,36585077.36,32.29,-47.8764,3.779098912877,1.34,0.377958771982,4.8217339792,农牧饲渔,2021-04-28
2831,sz.000498,山东路桥,0.1024,6512699629.14,51.8424538963,-54.0582,159437948.96,28.52,-77.4517,5.674116291838,1.83,0.155952930052,11.3128767257,工程建设,2021-04-28
2832,sz.000421,南京公用,0.0286,1077093920.62,26.5482623048,13.8866,16387299.26,276.38,109.1956,4.911059991164,0.58,0.211053177035,17.6606419049,公用事业,2021-04-28
2833,sz.000409,云鼎科技,0.0079,45878613.1,-92.3958547034,-78.0432,4019450.44,138.9,-90.7277,0.985981286994,0.8,-0.066712632898,55.123877535,综合行业,2021-04-28
2834,sz.000407,胜利股份,0.17,1168504172.8,35.4456959352,-31.5648,151190181.06,687.5,877.8903,2.967013710077,5.97,-0.109530418106,12.6936532802,石油行业,2021-04-28
2835,sz.000159,国际实业,0.0708,153840913.28,848.1453877852,-14.9195,34027688.2,222.94,40.0351,4.671413179081,1.53,-0.136157874461,1.8471302591,石油行业,2021-04-28
